column,dtype,non_null,description
rdfs_classes_typed,float64,1218,Subjects typed rdfs:Class.
skos_concepts,float64,1218,Subjects typed skos:Concept (WiseOwl counts them as classes).
owl_restrictions,float64,1218,Subjects typed owl:Restriction.
subclassof_triples,float64,1218,rdfs:subClassOf triples.
equivalentclass_triples,float64,1218,owl:equivalentClass triples.
deprecated_entities,float64,1218,Entities marked owl:deprecated true (still counted by WiseOwl).
owl_imports_count,float64,1218,Number of owl:imports; imported ontologies are not loaded or scored.
core_average_2dp,float64,1218,"core_average rounded to 2 decimals, as the WiseOwl dashboard shows it."
weakest_metric,str,1218,Core metric with the lowest score.
suggestions,str,1218,WiseOwl suggestion sentences for metrics below the threshold.
summary_banner,str,1218,WiseOwl summary sentence (core part).
describe_described,float64,1218,Entities counted as described.
describe_share,float64,1212,Describe metric detail.
define_defined,float64,1218,Entities with a non-empty definition.
define_share,float64,987,Define metric detail.
define_cosine_mean,float64,987,Mean BERT label/definition cosine (used for the z-score).
define_cosine_std,float64,987,Std of the cosines (used for the z-score).
define_match_mean,float64,987,Define metric detail.
define_adequacy_mean,float64,987,Define metric detail.
define_definitions_truncated,float64,987,Definitions cut at the BERT max length (128 tokens).
define_device,str,987,Device used for Define (cuda or cpu; cpu after a GPU memory fallback).
define_gpu_oom_fallback,float64,0,Define metric detail.
connection_coverage,float64,1212,Share of entities with at least one object-property link.
connection_diversity,float64,1212,"Mean of min(distinct properties / 5, 1)."
connection_richness,float64,1212,"Mean of min(log11(links + 1), 1)."
connection_connected,float64,1212,Connection metric detail.
connection_object_properties,float64,1212,Connection metric detail.
connection_links_triples,float64,1212,Connection metric detail.
connection_links_restrictions,float64,1212,Connection metric detail.
flat_max_depth,float64,1218,Longest root-to-leaf path in the class taxonomy (in nodes).
flat_avg_branching,float64,1218,Mean children per parent in the class taxonomy.
flat_depth_score,float64,1218,Flat metric detail.
flat_breadth_score,float64,1218,Flat metric detail.
flat_parents,float64,1218,Flat metric detail.
flat_edges,float64,1218,Flat metric detail.
flat_cycle_back_edges,float64,1218,Flat metric detail.
time_sniff,float64,1218,Seconds spent in this stage of the evaluation.
time_parse,float64,1218,Seconds spent in this stage of the evaluation.
time_identity,float64,1218,Seconds spent in this stage of the evaluation.
time_index,float64,1218,Seconds spent in this stage of the evaluation.
time_stats,float64,1218,Seconds spent in this stage of the evaluation.
time_describe,float64,1218,Seconds spent in this stage of the evaluation.
time_define,float64,1218,Seconds spent in this stage of the evaluation.
time_connection,float64,1218,Seconds spent in this stage of the evaluation.
time_flat,float64,1218,Seconds spent in this stage of the evaluation.
time_entities_table,float64,1212,Seconds spent in this stage of the evaluation.
time_total,float64,1218,Seconds spent in this stage of the evaluation.
define_seconds_encode_labels,float64,987,Define metric detail.
define_seconds_encode_definitions,float64,987,Define metric detail.
entity_rows_written,float64,1218,Rows written to entities.csv.gz for this ontology.
wiseowl_source_version,str,1218,WiseOwl version the metric code was copied from.
core4_version,str,1218,Version of this four-metric copy.
gpu_peak_allocated_mb,float64,1218,Peak GPU memory allocated by PyTorch during this ontology.
gpu_peak_reserved_mb,float64,1218,Peak GPU memory reserved by PyTorch during this ontology.
rss_mb_now,float64,1218,Worker RAM right after this ontology finished.
process_lifetime_peak_mb,float64,1218,Windows only: peak RAM of the worker process since it started.
bert_name,str,1218,Hugging Face model used by Define.
mixed_precision,object,1218,Whether fp16/bf16 autocast was on (off keeps WiseOwl parity).
encoder_device,str,1218,Device the BERT encoder was loaded on.
encoder_batch_size,float64,1218,BERT batch size.
torch_version,str,1218,PyTorch version in the worker.
transformers_version,str,1218,transformers version in the worker.
rdflib_version,str,1218,rdflib version in the worker.
time_write_outputs,float64,1218,Seconds spent in this stage of the evaluation.
wall_seconds,float64,1218,Evaluation wall time seen by the notebook.
parent_peak_rss_mb,float64,1218,Peak worker RAM seen by the notebook while this ontology ran.
web_status,str,1289,"Status for the web page: scored, not_downloadable, parse_failed, timed_out, too_large, failed, pending, no_submission."
